API/UWI,Monthly Production Date,Monthly Oil,Monthly Gas,Monthly Water,Monthly BOE,Days,Cum Oil,Cum Gas,Cum Water,Avg Oil,Avg Gas,Avg Water,Daily Avg BOE,Reservoir,DI Landing Zone,Well Name,Well Number,Operator Company Name,Production Type,Well Status,Entity Type,Total Proppant,Total Fluid,Gross Perforated Interval,DI Lateral Length,Producing Month Number,Monthly Oil Per perforated Ft,Monthly Gas Per perforated Ft,Monthly BOE Per perforated Ft,Daily Avg Oil Per perforated Ft,Daily Avg Gas Per perforated Ft,Daily Avg BOE Per perforated Ft,Cum Oil Per perforated Ft,Cum Gas Per perforated Ft,Cum BOE Per perforated Ft
42461355900000,2008-05-01,364,111,41,382.50,0,364,111,41,11.74,3.58,1.32,12.75,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,1,,,,,,,,,
42461355900000,2008-06-01,1584,1641,177,1857.50,0,1948,1752,218,52.80,54.70,5.90,61.92,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,2,,,,,,,,,
42461355900000,2008-07-01,1092,1342,122,1315.67,0,3040,3094,340,35.23,43.29,3.94,43.86,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,3,,,,,,,,,
42461355900000,2008-08-01,631,911,71,782.83,0,3671,4005,411,20.35,29.39,2.29,26.09,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,4,,,,,,,,,
42461355900000,2008-09-01,1041,705,116,1158.50,0,4712,4710,527,34.70,23.50,3.87,38.62,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,5,,,,,,,,,
42461355900000,2008-10-01,893,629,100,997.83,,5605,5339,627,28.81,20.29,3.23,33.26,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,6,,,,,,,,,
42461355900000,2008-11-01,789,573,88,884.50,,6394,5912,715,26.30,19.10,2.93,29.48,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,7,,,,,,,,,
42461355900000,2008-12-01,1781,738,200,1904.00,,8175,6650,915,57.45,23.81,6.45,63.47,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,8,,,,,,,,,
42461355900000,2009-01-01,3487,2212,392,3855.67,,11662,8862,1307,112.48,71.35,12.65,128.52,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,9,,,,,,,,,
42461355900000,2009-02-01,2011,1465,225,2255.17,,13673,10327,1532,71.82,52.32,8.04,75.17,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,10,,,,,,,,,
42461355900000,2009-03-01,2793,3095,313,3308.83,,16466,13422,1845,90.10,99.84,10.10,110.29,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,11,,,,,,,,,
42461355900000,2009-04-01,997,1117,111,1183.17,,17463,14539,1956,33.23,37.23,3.70,39.44,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,12,,,,,,,,,
42461355900000,2009-05-01,1658,1544,186,1915.33,,19121,16083,2142,53.48,49.81,6.00,63.84,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,13,,,,,,,,,
42461355900000,2009-06-01,1140,974,127,1302.33,,20261,17057,2269,38.00,32.47,4.23,43.41,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,14,,,,,,,,,
42461355900000,2009-07-01,985,959,110,1144.83,,21246,18016,2379,31.77,30.94,3.55,38.16,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,15,,,,,,,,,
42461355900000,2009-08-01,1441,623,161,1544.83,,22687,18639,2540,46.48,20.10,5.19,51.49,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,16,,,,,,,,,
42461355900000,2009-09-01,1179,417,131,1248.50,,23866,19056,2671,39.30,13.90,4.37,41.62,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,17,,,,,,,,,
42461355900000,2009-10-01,1210,356,134,1269.33,,25076,19412,2805,39.03,11.48,4.32,42.31,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,18,,,,,,,,,
42461355900000,2009-11-01,1181,505,131,1265.17,,26257,19917,2936,39.37,16.83,4.37,42.17,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,19,,,,,,,,,
42461355900000,2009-12-01,1345,620,149,1448.33,,27602,20537,3085,43.39,20.00,4.81,48.28,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,20,,,,,,,,,
42461355900000,2010-01-01,927,472,103,1005.67,,28529,21009,3188,29.90,15.23,3.32,33.52,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,21,,,,,,,,,
42461355900000,2010-02-01,699,351,77,757.50,,29228,21360,3265,24.96,12.54,2.75,25.25,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,22,,,,,,,,,
42461355900000,2010-03-01,744,410,83,812.33,,29972,21770,3348,24.00,13.23,2.68,27.08,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,23,,,,,,,,,
42461355900000,2010-04-01,719,393,80,784.50,,30691,22163,3428,23.97,13.10,2.67,26.15,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,24,,,,,,,,,
42461355900000,2010-05-01,926,462,102,1003.00,,31617,22625,3530,29.87,14.90,3.29,33.43,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,25,,,,,,,,,
42461355900000,2010-06-01,172,69,19,183.50,,31789,22694,3549,5.73,2.30,0.63,6.12,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,26,,,,,,,,,
42461355900000,2010-07-01,555,133,61,577.17,,32344,22827,3610,17.90,4.29,1.97,19.24,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,27,,,,,,,,,
42461355900000,2010-08-01,902,443,100,975.83,,33246,23270,3710,29.10,14.29,3.23,32.53,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,28,,,,,,,,,
42461355900000,2010-09-01,1488,2711,164,1939.83,,34734,25981,3874,49.60,90.37,5.47,64.66,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,29,,,,,,,,,
42461355900000,2010-10-01,1454,1927,160,1775.17,,36188,27908,4034,46.90,62.16,5.16,59.17,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,30,,,,,,,,,
42461355900000,2010-11-01,1421,1895,157,1736.83,,37609,29803,4191,47.37,63.17,5.23,57.89,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,31,,,,,,,,,
42461355900000,2010-12-01,1391,1864,153,1701.67,,39000,31667,4344,44.87,60.13,4.94,56.72,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,32,,,,,,,,,
42461355900000,2011-01-01,1362,1834,150,1667.67,,40362,33501,4494,43.94,59.16,4.84,55.59,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,33,,,,,,,,,
42461355900000,2011-02-01,1335,1806,147,1636.00,,41697,35307,4641,47.68,64.50,5.25,54.53,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,34,,,,,,,,,
42461355900000,2011-03-01,1308,1779,144,1604.50,,43005,37086,4785,42.19,57.39,4.65,53.48,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,35,,,,,,,,,
42461355900000,2011-04-01,1284,1754,142,1576.33,,44289,38840,4927,42.80,58.47,4.73,52.54,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,36,,,,,,,,,
42461355900000,2011-05-01,1195,1729,139,1483.17,,45484,40569,5066,38.55,55.77,4.48,49.44,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,37,,,,,,,,,
42461355900000,2011-06-01,760,1705,92,1044.17,,46244,42274,5158,25.33,56.83,3.07,34.81,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,38,,,,,,,,,
42461355900000,2011-07-01,747,2150,127,1105.33,,46991,44424,5285,24.10,69.35,4.10,36.84,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,39,,,,,,,,,
42461355900000,2011-08-01,677,1733,86,965.83,,47668,46157,5371,21.84,55.90,2.77,32.19,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,40,,,,,,,,,
42461355900000,2011-09-01,542,1497,85,791.50,,48210,47654,5456,18.07,49.90,2.83,26.38,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,41,,,,,,,,,
42461355900000,2011-10-01,673,1726,105,960.67,,48883,49380,5561,21.71,55.68,3.39,32.02,TREND AREA,,LARAH,1,DIAMONDBACK ENERGY,OIL,ACTIVE,COM,413000.0000,19270.12,1065.00,,42,,,,,,,,,
