X,Y
4.57E-03,6.74E+05
6.71E-03,7.62E+05
8.76E-03,7.32E+05
1.07E-02,7.47E+05
1.26E-02,8.17E+05
1.44E-02,8.13E+05
1.62E-02,1.05E+06
1.79E-02,1.12E+06
1.96E-02,1.21E+06
2.12E-02,1.13E+06
2.27E-02,1.11E+06
2.42E-02,1.08E+06
2.57E-02,1.24E+06
2.71E-02,1.24E+06
2.85E-02,1.22E+06
2.99E-02,1.23E+06
3.12E-02,1.25E+06
3.25E-02,1.30E+06
3.38E-02,1.30E+06
3.51E-02,1.32E+06
3.63E-02,1.33E+06
3.75E-02,1.39E+06
3.86E-02,1.34E+06
3.98E-02,1.36E+06
4.09E-02,1.39E+06
4.20E-02,1.38E+06
4.31E-02,1.42E+06
4.42E-02,1.46E+06
4.52E-02,1.43E+06
4.63E-02,1.46E+06
